,number,value,params_freeze,params_gamma,params_lr,params_modelname,params_nd1,params_nd2,params_nd3,params_step_size,state
67,67,4.155410289764404,2,7,6.180235573889372e-05,effv2s,3,9,9,18,COMPLETE
68,68,4.525792598724365,3,8,2.96932233236426e-05,effv2s,4,6,10,21,COMPLETE
69,69,4.467975616455078,2,6,0.00021227921656230447,resnet34,3,10,9,20,COMPLETE
70,70,4.289512634277344,1,7,0.000548602421639821,effv2s,9,9,8,26,COMPLETE
71,71,3.774470806121826,0,7,8.51934149369778e-05,effv2s,5,8,10,19,COMPLETE
72,72,4.18217134475708,0,7,8.856401660960136e-05,effv2s,7,10,10,18,COMPLETE
73,73,4.011132717132568,0,7,6.790937644963518e-05,effv2s,5,8,10,19,COMPLETE
74,74,3.835094928741455,2,7,4.7835076229567206e-05,effv2s,6,9,10,20,COMPLETE
75,75,4.593000411987305,2,7,3.8547756370304614e-05,effv2s,6,8,10,22,COMPLETE
76,76,4.313784599304199,2,10,9.582469432741283e-05,effv2s,7,9,10,21,COMPLETE
77,77,4.7249579429626465,2,7,5.2744277884222525e-05,effv2s,6,8,10,20,COMPLETE
78,78,4.07633638381958,2,8,0.00013507423289489253,effv2s,6,9,9,19,COMPLETE
79,79,3.9620144367218018,0,7,8.001911800952345e-05,effv2s,5,9,10,23,COMPLETE
80,80,4.6201324462890625,3,7,2.990275601187579e-05,resnet18,5,7,10,21,COMPLETE
81,81,4.940227031707764,1,6,0.00038293186009792114,effv2s,4,10,9,18,COMPLETE
82,82,4.421431541442871,1,5,0.000272798897138271,effv2s,4,10,10,17,COMPLETE
83,83,4.110742568969727,2,7,4.366835917621669e-05,effv2s,3,10,9,20,COMPLETE
84,84,3.9620556831359863,1,7,0.00046402806849440016,effv2s,4,10,8,19,COMPLETE
85,85,4.190707206726074,2,6,0.0001522645225200794,effv2s,5,10,9,30,COMPLETE
86,86,4.441588878631592,1,7,0.00020009640392488104,effv2s,4,9,10,20,COMPLETE
87,87,4.476356506347656,-1,8,0.00032624467006036196,effv2s,6,10,7,18,COMPLETE
88,88,4.605473518371582,1,7,0.0008574052160862684,resnet34,3,9,9,16,COMPLETE
89,89,3.8978054523468018,2,5,5.4537358061987276e-05,effv2s,3,10,10,17,COMPLETE
90,90,4.201068878173828,2,6,5.504392702272384e-05,effv2s,4,10,10,17,COMPLETE
91,91,4.00591516494751,2,5,7.966308885508917e-05,effv2s,3,10,10,16,COMPLETE
92,92,4.848235607147217,2,5,0.008496882585164315,effv2s,3,10,10,15,COMPLETE
93,93,3.7102346420288086,1,5,0.00010121670060450495,effv2s,3,10,10,19,COMPLETE
94,94,4.152590751647949,2,5,6.809814014335047e-05,effv2s,3,9,10,19,COMPLETE
95,95,3.8985884189605713,1,5,9.804363314275839e-05,effv2s,3,10,10,18,COMPLETE
96,96,4.550726413726807,2,7,3.621918312525998e-05,effv2s,4,10,10,19,COMPLETE
97,97,4.838820457458496,2,6,2.340739748075685e-05,effv2s,5,9,10,19,COMPLETE
98,98,4.805092811584473,0,7,0.00011662852682374413,effv2s,7,5,9,18,COMPLETE
99,99,4.507956504821777,1,7,4.415758288955722e-05,resnet18,3,6,10,20,COMPLETE
