,number,value,params_freeze,params_gamma,params_lr,params_modelname,params_nd1,params_nd2,params_nd3,params_step_size,state
67,67,4.4695258140563965,2,5,0.00033150266679653694,resnet18,9,4,4,16,COMPLETE
68,68,4.471384525299072,3,5,0.00015827522828957427,resnet34,9,5,4,18,COMPLETE
69,69,4.779697895050049,2,5,0.00023644554916162812,resnet18,8,4,4,17,COMPLETE
70,70,4.915935039520264,3,5,0.0006377462362250816,effv2s,9,8,4,19,COMPLETE
71,71,22.613101959228516,2,5,0.0014293382962666354,resnet18,10,3,5,18,COMPLETE
72,72,4.343589782714844,2,5,0.0009170982345652877,resnet18,10,4,4,20,COMPLETE
73,73,4.686137676239014,2,5,0.00042359252953319543,resnet18,10,4,5,19,COMPLETE
74,74,4.229927062988281,2,5,0.0005427007966037572,resnet18,9,3,4,18,COMPLETE
75,75,4.4341139793396,2,5,0.0006712498558190901,resnet18,10,3,5,17,COMPLETE
76,76,4.8989644050598145,3,6,0.00030761469291149684,resnet18,10,10,4,22,COMPLETE
77,77,4.911089897155762,2,5,0.00044536034779092345,resnet18,9,4,5,20,COMPLETE
78,78,4.43495512008667,2,5,0.0013201998420985356,resnet18,10,5,7,30,COMPLETE
79,79,4.870608806610107,2,5,0.001721643238117841,resnet18,8,4,6,15,COMPLETE
80,80,43.888980865478516,3,6,0.0009973278661173737,resnet18,9,3,3,21,COMPLETE
81,81,5.148214817047119,2,5,0.0005202749384092682,resnet18,10,3,4,18,COMPLETE
82,82,4.181276798248291,2,5,0.0007813570091733239,resnet18,9,3,4,17,COMPLETE
83,83,5.482536792755127,2,5,0.0007848242051145841,resnet18,10,3,4,16,COMPLETE
84,84,4.742689609527588,2,5,0.00034644819078580606,resnet18,9,4,4,17,COMPLETE
85,85,4.202406406402588,2,5,0.00020031227610386684,resnet34,8,3,4,17,COMPLETE
86,86,4.2551164627075195,2,5,0.0002177908002438918,resnet34,8,3,4,17,COMPLETE
87,87,4.423652172088623,2,6,0.0002977038269242912,resnet34,7,4,3,16,COMPLETE
88,88,4.255349159240723,2,5,0.00016821994096854833,resnet34,8,4,3,17,COMPLETE
89,89,4.057555198669434,1,5,0.00012406926120014382,resnet34,7,9,4,16,COMPLETE
90,90,4.385488510131836,1,5,0.00011564100021981796,resnet34,7,9,4,15,COMPLETE
91,91,4.944972038269043,1,5,0.0002480178015283188,resnet34,6,9,4,16,COMPLETE
92,92,4.357178211212158,2,5,0.00014165563784244566,resnet34,8,7,4,17,COMPLETE
93,93,4.557287693023682,1,5,0.00020032122963505302,resnet34,7,8,4,29,COMPLETE
94,94,4.163703441619873,2,5,0.00011311391288300463,resnet34,8,4,5,18,COMPLETE
95,95,4.766452789306641,2,5,6.954630539660381e-05,resnet34,8,5,5,17,COMPLETE
96,96,5.320072174072266,-1,5,0.00010316534424836463,resnet34,8,3,5,16,COMPLETE
97,97,4.458126068115234,2,6,5.2557916775049307e-05,resnet34,8,3,5,18,COMPLETE
98,98,4.115455150604248,1,5,0.00011320713301728515,resnet34,7,6,4,24,COMPLETE
99,99,4.8137383460998535,1,5,0.008966219294071535,resnet34,7,6,3,24,COMPLETE
