,number,value,params_freeze,params_gamma,params_lr,params_modelname,params_nd1,params_nd2,params_nd3,params_step_size,state
68,68,137.32981872558594,4,7,0.0002747676714935161,resnet34,3,4,4,26,COMPLETE
69,69,6.448485374450684,3,5,0.00037829226708266926,effv2s,7,6,3,27,COMPLETE
70,70,5.758835315704346,1,8,0.0007636259561704276,effv2s,5,9,4,24,COMPLETE
71,71,6.045506954193115,3,10,0.000489345556456403,effv2s,5,10,5,29,COMPLETE
72,72,5.766784191131592,3,10,0.00020102779428605422,effv2s,6,10,8,30,COMPLETE
73,73,5.746283054351807,3,7,0.0006190041889273946,effv2s,4,10,7,28,COMPLETE
74,74,5.51243782043457,3,9,0.00029341749397504075,effv2s,5,10,6,25,COMPLETE
75,75,5.534382343292236,1,10,0.00042953057263584116,effv2s,4,9,4,30,COMPLETE
76,76,5.280007839202881,2,10,0.00021451440745949313,effv2s,6,5,9,29,COMPLETE
77,77,4.981144905090332,2,10,0.00022005006082496175,effv2s,6,5,10,15,COMPLETE
78,78,5.759756565093994,2,9,0.0002293909886198097,effv2s,7,5,10,29,COMPLETE
79,79,7.04536247253418,1,10,0.0001449991432335101,resnet18,6,6,10,15,COMPLETE
80,80,5.5336995124816895,2,7,0.00011707918605005157,effv2s,6,3,9,27,COMPLETE
81,81,5.364517688751221,2,10,0.00016314791911958964,effv2s,6,5,10,18,COMPLETE
82,82,5.59130859375,2,10,0.00022775172112863412,effv2s,6,5,9,16,COMPLETE
83,83,5.552746772766113,2,10,0.00032281014043813105,effv2s,7,4,10,19,COMPLETE
84,84,17.509695053100586,1,10,0.0005285374022581561,effv2s,6,6,9,15,COMPLETE
85,85,5.715667247772217,2,10,7.241262207834845e-05,effv2s,8,5,10,17,COMPLETE
86,86,4.768652439117432,0,9,0.00027089072166216197,effv2s,5,4,9,28,COMPLETE
87,87,5.5052289962768555,0,8,0.0001029616029007835,effv2s,5,4,9,28,COMPLETE
88,88,7.604624271392822,-1,9,0.00018982234299972929,resnet34,4,4,10,28,COMPLETE
89,89,5.64546012878418,0,9,0.0002628188929313218,effv2s,4,3,8,29,COMPLETE
90,90,5.167186737060547,0,9,0.00038063393132887276,effv2s,5,7,9,27,COMPLETE
91,91,5.135313034057617,0,8,0.0008518788373140974,effv2s,5,7,9,27,COMPLETE
92,92,6.975524425506592,0,8,0.0014353154904731995,effv2s,5,7,9,27,COMPLETE
93,93,5.061601638793945,0,8,0.0008667473386545466,effv2s,5,7,8,26,COMPLETE
94,94,5.117795944213867,0,8,0.0008953723073474349,effv2s,5,7,8,26,COMPLETE
95,95,5.330950736999512,0,8,0.0008733618405349363,effv2s,5,7,8,26,COMPLETE
96,96,12.233832359313965,-1,8,0.0008166070929360529,effv2s,5,8,8,27,COMPLETE
97,97,5.501481533050537,0,8,0.0006598643963347844,effv2s,5,7,9,26,COMPLETE
98,98,6.289983749389648,0,8,0.0010712573755377501,effv2s,5,8,7,28,COMPLETE
99,99,6.965341091156006,0,8,0.0018140758863823396,resnet18,5,8,9,27,COMPLETE
